id,anio,seccion,concepto,valor_num,valor_raw,unidad,es_ratio
3e9b3921-fc4d-4d7f-b3ff-be218bea4496,2019,Deuda,Deuda/EBITDA (x),5.1,5.1,x,true
bfab6edc-e6f6-478b-9002-ccc4bd48bcb8,2020,Deuda,Deuda/EBITDA (x),-28.6,-28.6,x,true
24fc593d-4d69-4c63-af3d-3a7e33ea4e01,2021,Deuda,Deuda/EBITDA (x),18.2,18.2,x,true
bc16a372-e24b-4fa4-ace9-c15e12d37f39,2022,Deuda,Deuda/EBITDA (x),5.2,5.2,x,true
48651c3c-a244-4e44-8a57-6fd7d0a96cb3,2023,Deuda,Deuda/EBITDA (x),4.7,4.7,x,true
884308cc-4c99-47a7-ac46-80a798d1f249,2024,Deuda,Deuda/EBITDA (x),4.4,4.4,x,true
ce691abe-8335-4e98-80ed-ba709b45dd23,2019,Balance general,Caja y bancos,10760.0,10.760,millones COP,false
c7246523-6d66-44bd-bea6-feb973621560,2020,Balance general,Caja y bancos,7299.0,7.299,millones COP,false
36bfc0b1-101a-4cd2-851c-9008a24c59a1,2021,Balance general,Caja y bancos,19992.0,19.992,millones COP,false
b884a203-5afe-4d23-bc77-adc644180882,2022,Balance general,Caja y bancos,26507.0,26.507,millones COP,false
ccaeb942-d04f-4fd4-97b1-f9188fc52b95,2023,Balance general,Caja y bancos,22089.0,22.089,millones COP,false
296168b6-7d6f-4bcf-bda1-0baba38fe626,2024,Balance general,Caja y bancos,14143.0,14.143,millones COP,false
d0d77ee4-f90f-439e-8e6c-7c8af92e9e2e,2019,Balance general,Inversiones,27562.0,27.562,millones COP,false
b2654a2c-fbab-4c9f-b16a-049dc8d5fc93,2020,Balance general,Inversiones,23705.0,23.705,millones COP,false
3e6578d4-2df0-4a4a-af24-0e5ff24cd15c,2021,Balance general,Inversiones,18294.0,18.294,millones COP,false
fbbe5964-38f9-40b4-bbbd-40db9ee334ff,2022,Balance general,Inversiones,60639.0,60.639,millones COP,false
3f6b8a45-2e23-4f49-b6df-395cb897789a,2023,Balance general,Inversiones,58541.0,58.541,millones COP,false
1ae3dd29-dfcb-42fb-9a6a-3b832a391755,2024,Balance general,Inversiones,103978.0,103.978,millones COP,false
c3274201-9bd7-4fdc-a1a5-56ac42ba0bc6,2019,Balance general,Cuentas por cobrar,63690.0,63.690,millones COP,false
db60ecb3-e5c5-46c4-8f09-5878f8d668c8,2020,Balance general,Cuentas por cobrar,74694.0,74.694,millones COP,false
32dd756d-e276-4b2b-ba82-438537db5808,2021,Balance general,Cuentas por cobrar,49573.0,49.573,millones COP,false
1a20129c-977e-4b67-8ab2-9f3d8d97e183,2022,Balance general,Cuentas por cobrar,51802.0,51.802,millones COP,false
422a6e1c-df96-4ed4-bc3f-fdc0a4327cce,2023,Balance general,Cuentas por cobrar,58409.0,58.409,millones COP,false
282568af-8cfe-4558-8542-61671de5d46d,2024,Balance general,Cuentas por cobrar,57103.0,57.103,millones COP,false
34029876-3c58-452a-b37b-af0238fae7f3,2019,Balance general,Inventario,7493.0,7.493,millones COP,false
d5c0e52e-16ba-44d1-a7b3-8cc5ace31e36,2020,Balance general,Inventario,6575.0,6.575,millones COP,false
6e7df3bb-7599-4860-a61f-66445f29cb26,2021,Balance general,Inventario,8900.0,8.900,millones COP,false
8b9c4250-1442-474d-bbeb-498e6ddbb745,2022,Balance general,Inventario,10943.0,10.943,millones COP,false
116e90f4-29cd-471c-bb4d-03517e6f06f6,2023,Balance general,Inventario,11447.0,11.447,millones COP,false
b72ed723-2007-4366-b2ab-db379b96cb8c,2024,Balance general,Inventario,12208.0,12.208,millones COP,false
9b9abadd-a495-41cd-b409-3f5c42353c83,2019,Balance general,Activos biológicos CP,0.0,0,millones COP,false
ad4947c6-ec89-49a2-95fe-42c182638093,2020,Balance general,Activos biológicos CP,0.0,0,millones COP,false
